source,job_id,resume_id,matched_score,observed_pair_count
observed_paired_score,job_pair_00001,resume_00001,0.85,1
observed_paired_score,job_pair_00001,resume_00002,0.65,1
observed_paired_score,job_pair_00001,resume_00003,0.816666667,1
observed_paired_score,job_pair_00001,resume_00004,0.75,1
observed_paired_score,job_pair_00001,resume_00005,0.1966666666666666,1
observed_paired_score,job_pair_00001,resume_00006,0.85,1
observed_paired_score,job_pair_00001,resume_00007,0.45,1
observed_paired_score,job_pair_00001,resume_00008,0.65,1
observed_paired_score,job_pair_00001,resume_00009,0.85,1
observed_paired_score,job_pair_00001,resume_00010,0.85,1
observed_paired_score,job_pair_00001,resume_00011,0.8166666666666668,1
observed_paired_score,job_pair_00001,resume_00012,0.65,1
observed_paired_score,job_pair_00001,resume_00013,0.35,1
observed_paired_score,job_pair_00001,resume_00014,0.65,1
observed_paired_score,job_pair_00001,resume_00015,0.85,1
observed_paired_score,job_pair_00001,resume_00016,0.75,1
observed_paired_score,job_pair_00001,resume_00017,0.783333333,1
observed_paired_score,job_pair_00001,resume_00018,0.816666667,1
observed_paired_score,job_pair_00001,resume_00019,0.783333333,1
observed_paired_score,job_pair_00001,resume_00020,0.45,1
observed_paired_score,job_pair_00001,resume_00021,0.35,1
observed_paired_score,job_pair_00001,resume_00022,0.75,1
observed_paired_score,job_pair_00001,resume_00023,0.85,1
observed_paired_score,job_pair_00001,resume_00024,0.75,1
observed_paired_score,job_pair_00001,resume_00025,0.85,1
observed_paired_score,job_pair_00001,resume_00026,0.85,1
observed_paired_score,job_pair_00001,resume_00027,0.85,1
observed_paired_score,job_pair_00001,resume_00028,0.85,1
observed_paired_score,job_pair_00001,resume_00029,0.85,1
observed_paired_score,job_pair_00001,resume_00030,0.85,1
observed_paired_score,job_pair_00001,resume_00031,0.583333333,1
observed_paired_score,job_pair_00001,resume_00032,0.85,1
observed_paired_score,job_pair_00001,resume_00033,0.75,1
observed_paired_score,job_pair_00001,resume_00034,0.716666667,1
observed_paired_score,job_pair_00001,resume_00035,0.85,1
observed_paired_score,job_pair_00001,resume_00036,0.316666667,1
observed_paired_score,job_pair_00001,resume_00037,0.55,1
observed_paired_score,job_pair_00001,resume_00038,0.45,1
observed_paired_score,job_pair_00001,resume_00039,0.85,1
observed_paired_score,job_pair_00001,resume_00040,0.883333333,1
observed_paired_score,job_pair_00001,resume_00041,0.85,1
observed_paired_score,job_pair_00001,resume_00042,0.783333333,1
observed_paired_score,job_pair_00001,resume_00043,0.85,1
observed_paired_score,job_pair_00001,resume_00044,0.75,1
observed_paired_score,job_pair_00001,resume_00045,0.3166666666666666,1
observed_paired_score,job_pair_00001,resume_00046,0.56,1
observed_paired_score,job_pair_00001,resume_00047,0.65,1
observed_paired_score,job_pair_00001,resume_00048,0.85,1
observed_paired_score,job_pair_00001,resume_00049,0.483333333,1
observed_paired_score,job_pair_00001,resume_00050,0.7833333333333333,1
observed_paired_score,job_pair_00001,resume_00051,0.816666667,1
observed_paired_score,job_pair_00001,resume_00052,0.716666667,1
observed_paired_score,job_pair_00001,resume_00053,0.75,1
observed_paired_score,job_pair_00001,resume_00054,0.61,1
observed_paired_score,job_pair_00001,resume_00055,0.5833333333333334,1
observed_paired_score,job_pair_00001,resume_00056,0.65,1
observed_paired_score,job_pair_00001,resume_00057,0.716666667,1
observed_paired_score,job_pair_00001,resume_00058,0.65,1
observed_paired_score,job_pair_00001,resume_00059,0.77,1
observed_paired_score,job_pair_00001,resume_00060,0.75,1
observed_paired_score,job_pair_00001,resume_00061,0.65,1
observed_paired_score,job_pair_00001,resume_00062,0.76,1
observed_paired_score,job_pair_00001,resume_00063,0.45,1
observed_paired_score,job_pair_00001,resume_00064,0.45,1
observed_paired_score,job_pair_00001,resume_00065,0.85,1
observed_paired_score,job_pair_00001,resume_00066,0.816666667,1
observed_paired_score,job_pair_00001,resume_00067,0.783333333,1
observed_paired_score,job_pair_00001,resume_00068,0.816666667,1
observed_paired_score,job_pair_00001,resume_00069,0.75,1
observed_paired_score,job_pair_00001,resume_00070,0.716666667,1
observed_paired_score,job_pair_00001,resume_00071,0.65,1
observed_paired_score,job_pair_00001,resume_00072,0.75,1
observed_paired_score,job_pair_00001,resume_00073,0.726666667,1
observed_paired_score,job_pair_00001,resume_00074,0.716666667,1
observed_paired_score,job_pair_00001,resume_00075,0.916666667,1
observed_paired_score,job_pair_00001,resume_00076,0.6166666666666666,1
observed_paired_score,job_pair_00001,resume_00077,0.783333333,1
observed_paired_score,job_pair_00001,resume_00078,0.55,1
observed_paired_score,job_pair_00001,resume_00079,0.783333333,1
observed_paired_score,job_pair_00001,resume_00080,0.5499999999999999,1
observed_paired_score,job_pair_00001,resume_00081,0.583333333,1
observed_paired_score,job_pair_00001,resume_00082,0.45,1
observed_paired_score,job_pair_00001,resume_00083,0.65,1
observed_paired_score,job_pair_00001,resume_00084,0.85,1
observed_paired_score,job_pair_00001,resume_00085,0.35,1
observed_paired_score,job_pair_00001,resume_00086,0.783333333,1
observed_paired_score,job_pair_00001,resume_00087,0.683333333,1
observed_paired_score,job_pair_00001,resume_00088,0.716666667,1
observed_paired_score,job_pair_00001,resume_00089,0.693333333,1
observed_paired_score,job_pair_00001,resume_00090,0.85,1
observed_paired_score,job_pair_00001,resume_00091,0.783333333,1
observed_paired_score,job_pair_00001,resume_00092,0.616666667,1
observed_paired_score,job_pair_00001,resume_00093,0.683333333,1
observed_paired_score,job_pair_00001,resume_00094,0.35,1
observed_paired_score,job_pair_00001,resume_00095,0.45,1
observed_paired_score,job_pair_00001,resume_00096,0.65,1
observed_paired_score,job_pair_00001,resume_00097,0.283333333,1
observed_paired_score,job_pair_00001,resume_00098,0.85,1
observed_paired_score,job_pair_00001,resume_00099,0.25,1
observed_paired_score,job_pair_00001,resume_00100,0.54,1
observed_paired_score,job_pair_00001,resume_00101,0.85,1
observed_paired_score,job_pair_00001,resume_00102,0.816666667,1
observed_paired_score,job_pair_00001,resume_00103,0.683333333,1
observed_paired_score,job_pair_00001,resume_00104,0.783333333,1
observed_paired_score,job_pair_00001,resume_00105,0.916666667,1
observed_paired_score,job_pair_00001,resume_00106,0.633333333,1
observed_paired_score,job_pair_00001,resume_00107,0.85,1
observed_paired_score,job_pair_00001,resume_00108,0.3499999999999999,1
observed_paired_score,job_pair_00001,resume_00109,0.85,1
observed_paired_score,job_pair_00001,resume_00110,0.85,1
observed_paired_score,job_pair_00001,resume_00111,0.716666667,1
observed_paired_score,job_pair_00001,resume_00112,0.65,1
observed_paired_score,job_pair_00001,resume_00113,0.65,1
observed_paired_score,job_pair_00001,resume_00114,0.716666667,1
observed_paired_score,job_pair_00001,resume_00115,0.783333333,1
observed_paired_score,job_pair_00001,resume_00116,0.783333333,1
